11,蜘蛛侠：英雄远征,动作,141751,36,17,美国,2019-06-28,
12,扫毒2：天地对决,剧情,131143,36,17,中国香港/中国,2019-07-05,
13,大黄蜂,动作,114956,36,11,美国,2019-01-04,
14,攀登者,剧情,109501,37,22,中国,2019-09-30,
15,惊奇队长,动作,103518,37,14,美国,2019-03-08,
16,比悲伤更悲伤的故事,爱情,95792,31,15,中国台湾,2019-03-14,
17,哥斯拉2：怪兽之王,科幻,93737,37,15,美国,2019-05-31,
18,阿丽塔：战斗天使,动作,89698,38,14,美国/加拿大/阿根廷,2019-02-22,
19,银河补习班,剧情,87772,34,16,中国,2019-07-18,
20,误杀,剧情,83173,34,15,中国,2019-12-13,
21,狮子王,剧情,83164,37,16,美国,2019-07-12,
22,冰雪奇缘2,动画,82296,35,12,美国,2019-11-22,
23,反贪风暴4,动作,79860,35,11,中国/中国香港,2019-04-04,
24,叶问4：完结篇,动作,76325,36,17,中国/中国香港,2019-12-20,
25,熊出没·原始时代,动画,71781,39,22,中国,2019-02-05,
1,红海行动,动作,365078,39,33,中国/中国香港,2018-02-16,
2,唐人街探案2,喜剧,339769,39,39,中国,2018-02-16,
3,我不是药神,剧情,309996,35,27,中国,2018-07-05,
4,西虹市首富,喜剧,254757,35,28,中国,2018-07-27,
5,复仇者联盟3：无限战争,动作,239053,38,19,美国,2018-05-11,
6,捉妖记2,喜剧,223708,38,44,中国香港/中国,2018-02-16,
7,毒液：致命守护者,动作,187013,36,17,美国,2018-11-09,
8,海王,动作,185218,36,19,美国,2018-12-07,
9,侏罗纪世界2,动作,169588,36,19,美国,2018-06-15,
10,前任3：再见前任,喜剧,164667,35,27,中国,2017-12-29,
11,头号玩家,科幻,139666,36,18,美国,2018-03-30,
12,后来的我们,爱情,136152,34,21,中国,2018-04-28,
13,一出好戏,喜剧,135505,35,26,中国,2018-08-10,
14,无双,动作,127376,36,15,中国/中国香港,2018-09-30,
15,碟中谍6：全面瓦解,动作,124522,37,15,美国,2018-08-31,
16,巨齿鲨,动作,105178,38,22,美国,2018-08-10,
17,狂暴巨兽,动作,100395,35,13,美国,2018-04-13,
18,超时空同居,奇幻,89988,33,12,中国,2018-05-18,
19,蚁人2：黄蜂女现身,动作,83156,36,15,美国/英国,2018-08-24,
20,无名之辈,剧情,79409,35,12,中国,2018-11-16,
21,无问西东,剧情,75430,31,18,中国,2018-01-12,
22,神秘巨星,剧情,74707,30,17,印度,2018-01-19,
23,西游记女儿国,喜剧,72738,40,33,中国,2018-02-16,
24,摩天营救,动作,66981,35,18,美国,2018-07-20,
25,黑豹,动作,66259,36,17,美国,2018-03-09,
1,战狼2,动作,567875,36,38,中国,2017-07-27,
2,速度与激情8,动作,267096,37,30,美国,2017-04-14,
3,羞羞的铁拳,喜剧,220175,33,25,中国,2017-09-30,
4,功夫瑜伽,喜剧,175259,38,33,印度/中国,2017-01-28,
5,西游伏妖篇,奇幻,165593,39,36,中国香港/中国,2017-01-28,
6,变形金刚5：最后的骑士,动作,155124,37,23,美国,2017-06-23,
7,摔跤吧！爸爸,喜剧,129912,30,22,印度,2017-05-05,
8,芳华,战争,118754,34,28,中国,2017-12-15,
9,加勒比海盗5：死无对证,动作,117991,36,22,美国,2017-05-26,
10,金刚：骷髅岛,动作,116050,35,20,美国,2017-03-24,
11,寻梦环游记,动画,115251,34,18,美国,2017-11-24,
